Variable,Close,Close,Close,Close,Close
Ticker,Ehereum,Bitcoin,Tether,Doge,BNB
Date,,,,,
2023/3/31,1822.02,28478.48,1.0001,0.07703,317.04
2023/3/30,1792.74,28033.56,1.0001,0.07424,316.57
2023/3/29,1793,28348.44,0.9999,0.07563,313.84
2023/3/28,1772.79,27268.13,1.0003,0.07382,313.26
2023/3/27,1715.46,27139.89,1.0002,0.07289,310.95
2023/3/26,1775.68,27994.33,1.0009,0.07442,328.89
2023/3/25,1743.76,27494.71,1.0008,0.07404,322.67
2023/3/24,1752.04,27493.29,1.0013,0.07468,322.36
2023/3/23,1816.41,28333.97,1.001,0.07741,329.84
2023/3/22,1737.72,27307.44,1.0019,0.074,321.89
2023/3/21,1806.76,28175.82,1.0015,0.07689,335.31
2023/3/20,1735.32,27767.24,1.0018,0.07149,332.92
2023/3/19,1785.58,28038.67,1.003,0.07481,336.98
2023/3/18,1761.66,26965.88,1.0023,0.07305,331.52
2023/3/17,1792.49,27423.93,1.0023,0.07651,339.08
2023/3/16,1677.22,25052.79,1.0021,0.07272,329.86
2023/3/15,1656.18,24375.96,1.0039,0.06987,307.12
2023/3/14,1703.51,24746.07,1.0032,0.07479,309.37
2023/3/13,1680.31,24197.53,1.0039,0.07304,308.91
2023/3/12,1590.29,22163.95,1.0071,0.071,289.68
2023/3/11,1482.62,20632.41,1.0077,0.06659,277.96
2023/3/10,1429.16,20187.24,1.003,0.06583,277.42
2023/3/9,1438.66,20363.02,0.9999,0.06599,277.3
2023/3/8,1534.09,21718.08,1,0.07113,286.87
2023/3/7,1561.93,22219.77,1,0.07405,289.34
2023/3/6,1567.4,22429.76,1,0.0748,288.05
2023/3/5,1564.47,22435.51,1.0001,0.07479,288.7
2023/3/4,1566.92,22353.35,1.0001,0.07456,289.5
2023/3/3,1569.17,22362.68,1.0001,0.07678,290.28
2023/3/2,1647.32,23475.47,1.0001,0.08052,299.95
2023/3/1,1663.43,23646.55,1.0001,0.08196,302.91
2023/2/28,1605.9,23147.35,1.0002,0.08075,301.47
2023/2/27,1634.33,23522.87,1.0002,0.08135,304.86
2023/2/26,1640.82,23561.21,1.0001,0.0822,309
2023/2/25,1594.91,23175.38,1.0001,0.08079,302.38
2023/2/24,1608.37,23198.13,1.0001,0.0809,302.05
2023/2/23,1651.07,23947.49,1.0001,0.08429,308.53
2023/2/22,1643.23,24188.84,1.0001,0.08553,312.78
2023/2/21,1658.04,24436.35,1.0001,0.08541,311.47
2023/2/20,1702.68,24829.15,1.0002,0.08821,315.38
2023/2/19,1681.44,24327.64,1.0002,0.08697,311.94
2023/2/18,1691.82,24641.28,1.0002,0.08893,316.68
2023/2/17,1694.78,24565.6,1.0002,0.08777,313.38
2023/2/16,1640.07,23623.47,1.0002,0.08504,304.76
2023/2/15,1673.75,24307.84,1.0002,0.08929,317.17
2023/2/14,1556.88,22220.8,1.0004,0.08353,296.12
2023/2/13,1507.17,21808.1,1.0009,0.08216,294.48
2023/2/12,1515.03,21788.2,1.0002,0.08214,312.93
2023/2/11,1539.93,21870.87,1.0002,0.08237,310.62
2023/2/10,1514.87,21651.18,1.0002,0.08109,305.95
2023/2/9,1546.44,21819.04,1.0002,0.08148,305.96
2023/2/8,1650.72,22939.4,1.0001,0.09016,328.09
2023/2/7,1672,23264.29,1.0001,0.09258,333.23
2023/2/6,1616.25,22760.11,1.0001,0.08955,324.63
2023/2/5,1631.65,22955.67,1.0002,0.0921,327.87
2023/2/4,1667.06,23331.85,1.0001,0.09578,330.62
2023/2/3,1664.75,23449.32,1.0001,0.09299,332.27
2023/2/2,1643.24,23471.87,1.0001,0.09098,323.35
2023/2/1,1641.79,23723.77,1.0001,0.09417,317.47
2023/1/31,1586.54,23139.28,1.0001,0.09617,312.36
2023/1/30,1567.33,22840.14,1.0001,0.08834,307.07
2023/1/29,1646.16,23774.57,1.0001,0.09023,317.34
2023/1/28,1572.44,23031.09,1.0002,0.08779,306.24
2023/1/27,1598.16,23078.73,1.0002,0.08712,308.12
2023/1/26,1603.11,23032.78,1.0001,0.08637,304.87
2023/1/25,1611.71,23117.86,1.0002,0.08659,307.31
2023/1/24,1556.6,22636.47,1.0001,0.08395,300.61
2023/1/23,1628.25,22934.43,1.0002,0.08861,305.5
2023/1/22,1628.38,22720.42,1.0002,0.0883,303.05
2023/1/21,1627.12,22777.63,1.0002,0.08476,299.26
2023/1/20,1659.75,22676.55,1.0002,0.0864,304.97
2023/1/19,1552.56,21086.79,1,0.08166,294.85
2023/1/18,1515.51,20688.78,0.9999,0.08019,286.99
2023/1/17,1567.85,21161.52,1.0001,0.08298,299.82
2023/1/16,1576.83,21169.63,1.0001,0.08364,299
2023/1/15,1552.48,20880.8,1.0004,0.08613,302.07
2023/1/14,1550.71,20976.3,1.0002,0.08732,305.24
2023/1/13,1451.61,19909.57,1.0002,0.08444,293.73
2023/1/12,1417.94,18869.59,1.0001,0.08029,287.81
2023/1/11,1387.93,17943.9,1,0.07815,285.05
2023/1/10,1336.59,17446.29,1.0001,0.07773,277.29
